Genename	HGNC_ID	Uniprot_ID	ENSG	EntrezID	Synonym	Summary
BECN1	1034	Q14457	ENSG00000126581	8678	ATG6; VPS30; beclin1	"""This gene encodes a protein that regulates autophagy, a catabolic process of degradation induced by starvation. The encoded protein is a component of the phosphatidylinositol-3-kinase (PI3K) complex which mediates vesicle-trafficking processes. This protein is thought to play a role in multiple cellular processes, including tumorigenesis, neurodegeneration and apoptosis. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2015]"""
BNIP3	1084	Q12983	ENSG00000176171	664	NIP3	"""This gene is encodes a mitochondrial protein that contains a BH3 domain and acts as a pro-apoptotic factor. The encoded protein interacts with anti-apoptotic proteins, including the E1B 19 kDa protein and Bcl2. This gene is silenced in tumors by DNA methylation. [provided by RefSeq, Dec 2014]"""
BNIP3L	1085	O60238	ENSG00000104765	665	NIX; BNIP3a	"""This gene encodes a protein that belongs to the pro-apoptotic subfamily within the Bcl-2 family of proteins. The encoded protein binds to Bcl-2 and possesses the BH3 domain. The protein directly targets mitochondria and causes apoptotic changes, including loss of membrane potential and the release of cytochrome c. [provided by RefSeq, Feb 2015]"""
CALCOCO2	29912	Q13137	ENSG00000136436	10241	NDP52	"""This gene encodes a coiled-coil domain-containing protein. The encoded protein functions as a receptor for ubiquitin-coated bacteria and plays an important role in innate immunity by mediating macroautophagy. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, May 2012]"""
COX4I1	2265	P13073	ENSG00000131143	1327	COX4; COXIV; COX4-1; COXIV-1; COX IV-1	"""Cytochrome c oxidase (COX) is the terminal enzyme of the mitochondrial respiratory chain. It is a multi-subunit enzyme complex that couples the transfer of electrons from cytochrome c to molecular oxygen and contributes to a proton electrochemical gradient across the inner mitochondrial membrane. The complex consists of 13 mitochondrial- and nuclear-encoded subunits. The mitochondrially-encoded subunits perform the electron transfer and proton pumping activities. The functions of the nuclear-encoded subunits are unknown but they may play a role in the regulation and assembly of the complex. This gene encodes the nuclear-encoded subunit IV isoform 1 of the human mitochondrial respiratory chain enzyme. It is located at the 3' of the NOC4 (neighbor of COX4) gene in a head-to-head orientation, and shares a promoter with it. Pseudogenes related to this gene are located on chromosomes 13 and 14. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jan 2016]"""
CTSB	2527	P07858	ENSG00000164733	1508	APPS; CPSB	"""This gene encodes a member of the C1 family of peptidases. Alternative splicing of this gene results in multiple transcript variants. At least one of these variants encodes a preproprotein that is proteolytically processed to generate multiple protein products. These products include the cathepsin B light and heavy chains, which can dimerize to form the double chain form of the enzyme. This enzyme is a lysosomal cysteine protease with both endopeptidase and exopeptidase activity that may play a role in protein turnover. It is also known as amyloid precursor protein secretase and is involved in the proteolytic processing of amyloid precursor protein (APP). Incomplete proteolytic processing of APP has been suggested to be a causative factor in Alzheimer's disease, the most common cause of dementia. Overexpression of the encoded protein has been associated with esophageal adenocarcinoma and other tumors. Multiple pseudogenes of this gene have been identified. [provided by RefSeq, Nov 2015]"""
CTSD	2529	P07339	ENSG00000117984	1509	CPSD; CLN10; HEL-S-130P	"""This gene encodes a member of the A1 family of peptidases. The encoded preproprotein is proteolytically processed to generate multiple protein products. These products include the cathepsin D light and heavy chains, which heterodimerize to form the mature enzyme. This enzyme exhibits pepsin-like activity and plays a role in protein turnover and in the proteolytic activation of hormones and growth factors. Mutations in this gene play a causal role in neuronal ceroid lipofuscinosis-10 and may be involved in the pathogenesis of several other diseases, including breast cancer and possibly Alzheimer's disease. [provided by RefSeq, Nov 2015]"""
CTSL	2537	P07711	ENSG00000135047	1514	MEP; CATL; CTSL1	"""The protein encoded by this gene is a lysosomal cysteine proteinase that plays a major role in intracellular protein catabolism. Its substrates include collagen and elastin, as well as alpha-1 protease inhibitor, a major controlling element of neutrophil elastase activity. The encoded protein has been implicated in several pathologic processes, including myofibril necrosis in myopathies and in myocardial ischemia, and in the renal tubular response to proteinuria. This protein, which is a member of the peptidase C1 family, is a dimer composed of disulfide-linked heavy and light chains, both produced from a single protein precursor. Multiple alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Apr 2012]"""
DEPTOR	22953	Q8TB45	ENSG00000155792	64798	DEP.6; DEPDC6	"""NA"""
DNM1L	2973	O00429	ENSG00000087470	10059	DLP1; DRP1; DVLP; EMPF; OPA5; EMPF1; DYMPLE; HDYNIV	"""This gene encodes a member of the dynamin superfamily of GTPases. The encoded protein mediates mitochondrial and peroxisomal division, and is involved in developmentally regulated apoptosis and programmed necrosis. Dysfunction of this gene is implicated in several neurological disorders, including Alzheimer's disease. Mutations in this gene are associated with the autosomal dominant disorder, encephalopathy, lethal, due to defective mitochondrial and peroxisomal fission (EMPF). Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jun 2013]"""
DRAM1	25645	Q8N682	ENSG00000136048	55332	DRAM	"""This gene is regulated as part of the p53 tumor suppressor pathway. The gene encodes a lysosomal membrane protein that is required for the induction of autophagy by the pathway. Decreased transcriptional expression of this gene is associated with various tumors. This gene has a pseudogene on chromosome 4. [provided by RefSeq, Jul 2008]"""
DRAM2	28769	Q6UX65	ENSG00000156171	128338	CORD21; PRO180; TMEM77; WWFQ154	"""The protein encoded by this gene binds microtubule-associated protein 1 light chain 3 and is required for autophagy. Defects in this gene are a cause of retinal dystrophy. In addition, two microRNAs (microRNA 125b-1 and microRNA 144) can bind to the mRNA of this gene and produce the disease state. [provided by RefSeq, Mar 2017]"""
EPG5	29331	Q9HCE0	ENSG00000152223	57724	HEEW1; VICIS; KIAA1632	"""This gene encodes a large coiled coil domain-containing protein that functions in autophagy during starvation conditions. Mutations in this gene cause Vici syndrome. [provided by RefSeq, Aug 2015]"""
FIS1	21689	Q9Y3D6	ENSG00000214253	51024	TTC11; CGI-135	"""The balance between fission and fusion regulates the morphology of mitochondria. TTC11 is a component of a mitochondrial complex that promotes mitochondrial fission (James et al., 2003 [PubMed 12783892]).[supplied by OMIM, Mar 2008]"""
FUNDC1	28746	Q8IVP5	ENSG00000069509	139341	NA	"""This gene encodes a protein with a FUN14 superfamily domain. The function of the encoded protein is not known. [provided by RefSeq, Sep 2011]"""
GABARAP	4067	O95166	ENSG00000170296	11337	MM46; ATG8A; GABARAP-a	"""Gamma-aminobutyric acid A receptors [GABA(A) receptors] are ligand-gated chloride channels that mediate inhibitory neurotransmission. This gene encodes GABA(A) receptor-associated protein, which is highly positively charged in its N-terminus and shares sequence similarity with light chain-3 of microtubule-associated proteins 1A and 1B. This protein clusters neurotransmitter receptors by mediating interaction with the cytoskeleton. [provided by RefSeq, Jul 2008]"""
GABARAPL1	4068	Q9H0R8	ENSG00000139112	23710	ATG8; GEC1; APG8L; ATG8B; ATG8L; APG8-LIKE	"""NA"""
GABARAPL2	13291	P60520	ENSG00000034713	11345	ATG8; GEF2; ATG8C; GEF-2; GATE16; GATE-16	"""NA"""
HIF1A	4910	Q16665	ENSG00000100644	3091	HIF1; MOP1; PASD8; HIF-1A; bHLHe78; HIF-1alpha; HIF1-ALPHA; HIF-1-alpha	"""This gene encodes the alpha subunit of transcription factor hypoxia-inducible factor-1 (HIF-1), which is a heterodimer composed of an alpha and a beta subunit. HIF-1 functions as a master regulator of cellular and systemic homeostatic response to hypoxia by activating transcription of many genes, including those involved in energy metabolism, angiogenesis, apoptosis, and other genes whose protein products increase oxygen delivery or facilitate metabolic adaptation to hypoxia. HIF-1 thus plays an essential role in embryonic vascularization, tumor angiogenesis and pathophysiology of ischemic disease. Alternatively spliced transcript variants encoding different isoforms have been identified for this gene. [provided by RefSeq, Jul 2011]"""
HSPD1	5261	P10809	ENSG00000144381	3329	HLD4; CPN60; GROEL; HSP60; HSP65; SPG13; HSP-60; HuCHA60	"""This gene encodes a member of the chaperonin family. The encoded mitochondrial protein may function as a signaling molecule in the innate immune system. This protein is essential for the folding and assembly of newly imported proteins in the mitochondria. This gene is adjacent to a related family member and the region between the 2 genes functions as a bidirectional promoter. Several pseudogenes have been associated with this gene. Two transcript variants encoding the same protein have been identified for this gene. Mutations associated with this gene cause autosomal recessive spastic paraplegia 13. [provided by RefSeq, Jun 2010]"""
KIF5B	6324	P33176	ENSG00000170759	3799	KNS; KINH; KNS1; UKHC; HEL-S-61	"""NA"""
LAMP1	6499	P11279	ENSG00000185896	3916	LAMPA; CD107a; LGP120	"""The protein encoded by this gene is a member of a family of membrane glycoproteins.  This glycoprotein provides selectins with carbohydrate ligands.  It may also play a role in tumor cell metastasis. [provided by RefSeq, Jul 2008]"""
LAMP2	6501	P13473	ENSG00000005893	3920	LAMPB; CD107b; LAMP-2; LGP-96; LGP110	"""The protein encoded by this gene is a member of a family of membrane glycoproteins. This glycoprotein provides selectins with carbohydrate ligands. It may play a role in tumor cell metastasis. It may also function in the protection, maintenance, and adhesion of the lysosome. Alternative splicing of this gene results in multiple transcript variants encoding distinct proteins. [provided by RefSeq, Jul 2008]"""
MAP1LC3A	6838	Q9H492	ENSG00000101460	84557	LC3; LC3A; ATG8E; MAP1ALC3; MAP1BLC3	"""MAP1A and MAP1B are microtubule-associated proteins which mediate the physical interactions between microtubules and components of the cytoskeleton. MAP1A and MAP1B each consist of a heavy chain subunit and multiple light chain subunits. The protein encoded by this gene is one of the light chain subunits and can associate with either MAP1A or MAP1B. Two transcript variants encoding different isoforms have been found for this gene. The expression of variant 1 is suppressed in many tumor cell lines, suggesting that may be involved in carcinogenesis. [provided by RefSeq, Feb 2012]"""
MAP1LC3B	13352	Q9GZQ8	ENSG00000140941	81631	LC3B; ATG8F; MAP1LC3B-a; MAP1A/1BLC3	""" The product of this gene is a subunit of neuronal microtubule-associated MAP1A and MAP1B proteins, which are involved in microtubule assembly and important for neurogenesis. Studies on the rat homolog implicate a role for this gene in autophagy, a process that involves the bulk degradation of cytoplasmic component. [provided by RefSeq, Jul 2008]"""
MAP1LC3B2	34390	A6NCE7	ENSG00000258102	643246	ATG8G	"""NA"""
MAP1LC3C	13353	Q9BXW4	ENSG00000197769	440738	LC3C; ATG8J	"""Autophagy is a highly regulated bulk degradation process that plays an important role in cellular maintenance and development. MAP1LC3C is an ortholog of the yeast autophagosome protein Atg8 (He et al., 2003 [PubMed 12740394]).[supplied by OMIM, Nov 2010]"""
MFN1	18262	Q8IWA4	ENSG00000171109	55669	hfzo1; hfzo2	"""The protein encoded by this gene is a mediator of mitochondrial fusion. This protein and mitofusin 2 are homologs of the Drosophila protein fuzzy onion (Fzo). They are mitochondrial membrane proteins that interact with each other to facilitate mitochondrial targeting. [provided by RefSeq, Jul 2008]"""
MFN2	16877	O95140	ENSG00000116688	9927	HSG; MARF; CMT2A; CPRP1; CMT2A2; HMSN6A; CMT2A2A; CMT2A2B	"""This gene encodes a mitochondrial membrane protein that participates in mitochondrial fusion and contributes to the maintenance and operation of the mitochondrial network. This protein is involved in the regulation of vascular smooth muscle cell proliferation, and it may play a role in the pathophysiology of obesity. Mutations in this gene cause Charcot-Marie-Tooth disease type 2A2, and hereditary motor and sensory neuropathy VI, which are both disorders of the peripheral nervous system. Defects in this gene have also been associated with early-onset stroke. Two transcript variants encoding the same protein have been identified. [provided by RefSeq, Jul 2008]"""
MLST8	24825	Q9BVC4	ENSG00000167965	64223	GBL; LST8; POP3; WAT1; GbetaL	"""NA"""
MTOR	3942	P42345	ENSG00000198793	2475	SKS; FRAP; FRAP1; FRAP2; RAFT1; RAPT1	"""The protein encoded by this gene belongs to a family of phosphatidylinositol kinase-related kinases. These kinases mediate cellular responses to stresses such as DNA damage and nutrient deprivation. This protein acts as the target for the cell-cycle arrest and immunosuppressive effects of the FKBP12-rapamycin complex. The ANGPTL7 gene is located in an intron of this gene. [provided by RefSeq, Sep 2008]"""
NBR1	6746	Q14596	ENSG00000188554	4077	IAI3B; M17S2; MIG19; 1A1-3B	"""The protein encoded by this gene was originally identified as an ovarian tumor antigen monitored in ovarian cancer. The encoded protein contains a B-box/coiled-coil motif, which is present in many genes with transformation potential. It functions as a specific autophagy receptor for the selective autophagic degradation of peroxisomes by forming intracellular inclusions with ubiquitylated autophagic substrates. This gene is located on a region of chromosome 17q21.1 that is in close proximity to the BRCA1 tumor suppressor gene. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, Apr 2014]"""
OPTN	17142	Q96CV9	ENSG00000123240	10133	NRP; FIP2; HIP7; HYPL; ALS12; GLC1E; TFIIIA-INTP	"""This gene encodes the coiled-coil containing protein optineurin. Optineurin may play a role in normal-tension glaucoma and adult-onset primary open angle glaucoma. Optineurin interacts with adenovirus E3-14.7K protein and may utilize tumor necrosis factor-alpha or Fas-ligand pathways to mediate apoptosis, inflammation or vasoconstriction. Optineurin may also function in cellular morphogenesis and membrane trafficking, vesicle trafficking, and transcription activation through its interactions with the RAB8, huntingtin, and transcription factor IIIA proteins. Alternative splicing results in multiple transcript variants encoding the same protein. [provided by RefSeq, Jul 2008]"""
PHB2	30306	Q99623	ENSG00000215021	11331	BAP; REA; p22; hBAP; Bap37; BCAP37; PNAS-141	"""NA"""
PIK3C3	8974	Q8NEB9	ENSG00000078142	5289	VPS34; Vps34; hVps34	"""NA"""
PIK3R4	8982	Q99570	ENSG00000196455	30849	p150; VPS15	"""NA"""
PINK1	14581	Q9BXM7	ENSG00000158828	65018	BRPK; PARK6	"""This gene encodes a serine/threonine protein kinase that localizes to mitochondria. It is thought to protect cells from stress-induced mitochondrial dysfunction. Mutations in this gene cause one form of autosomal recessive early-onset Parkinson disease. [provided by RefSeq, Jul 2008]"""
PLEKHM1	29017	Q9Y4G2	ENSG00000225190	9842	B2; AP162; OPTB6	"""The protein encoded by this gene is essential for bone resorption, and may play a critical role in vesicular transport in the osteoclast. Mutations in this gene are associated with autosomal recessive osteopetrosis type 6 (OPTB6). Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Sep 2009]"""
PRKAA1	9376	Q13131	ENSG00000132356	5562	AMPK; AMPKa1	"""The protein encoded by this gene belongs to the ser/thr protein kinase family. It is the catalytic subunit of the 5'-prime-AMP-activated protein kinase (AMPK). AMPK is a cellular energy sensor conserved in all eukaryotic cells. The kinase activity of AMPK is activated by the stimuli that increase the cellular AMP/ATP ratio. AMPK regulates the activities of a number of key metabolic enzymes through phosphorylation. It protects cells from stresses that cause ATP depletion by switching off ATP-consuming biosynthetic pathways. Alternatively spliced transcript variants encoding distinct isoforms have been observed. [provided by RefSeq, Jul 2008]"""
PRKN	8607	O60260	ENSG00000185345	5071	PDJ; AR-JP; LPRS2; PARK2	"""The precise function of this gene is unknown; however, the encoded protein is a component of a multiprotein E3 ubiquitin ligase complex that mediates the targeting of substrate proteins for proteasomal degradation. Mutations in this gene are known to cause Parkinson disease and autosomal recessive juvenile Parkinson disease. Alternative splicing of this gene produces multiple transcript variants encoding distinct isoforms. Additional splice variants of this gene have been described but currently lack transcript support. [provided by RefSeq, Jul 2008]"""
RAB11A	9760	P62491	ENSG00000103769	8766	YL8	"""The protein encoded by this gene belongs to the Rab family of the small GTPase superfamily. It is associated with both constitutive and regulated secretory pathways, and may be involved in protein transport. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2011]"""
RAB1A	9758	P62820	ENSG00000138069	5861	RAB1; YPT1	"""This gene encodes a member of the Ras superfamily of GTPases. Members of the gene family cycle between inactive GDP-bound and active GTP-bound forms. This small GTPase controls vesicle traffic from the endoplasmic reticulum to the Golgi apparatus. Multiple alternatively spliced transcript variants have been identified for this gene which encode different protein isoforms. [provided by RefSeq, Oct 2008]"""
RAB24	9765	Q969Q5	ENSG00000169228	53917	NA	"""RAB24 is a small GTPase of the Rab subfamily of Ras-related proteins that regulate intracellular protein trafficking (Olkkonen et al., 1993 [PubMed 8126105]).[supplied by OMIM, Aug 2009]"""
RAB33B	16075	Q9H082	ENSG00000172007	83452	SMC2	"""This gene encodes a small GTP-binding protein of the Rab GTPase family, whose members function in vesicle transport during protein secretion and endocytosis. Rab GTPases are active, membrane-associated proteins that recruit effector proteins in the GTP-bound state and inactive cytosolic proteins when in a GDP-bound state. The protein encoded by this gene is ubiquitously expressed and has been implicated in Golgi to endoplasmic reticulum cycling of Golgi enzymes. In addition, this protein regulates Golgi homeostasis and coordinates intra-Golgi retrograde trafficking. Allelic variants in this gene have been associated with Dyggve-Melchior-Clausen syndrome and Smith-McCort dysplasia 2, which are autosomal recessive spondyloepimetaphyseal dysplasias characterized by skeletal abnormalities. [provided by RefSeq, Sep 2016]"""
RAB5A	9783	P20339	ENSG00000144566	5868	RAB5	"""NA"""
RAB7A	9788	P51149	ENSG00000075785	7879	RAB7; PRO2706	"""RAB family members are small, RAS-related GTP-binding proteins that are important regulators of vesicular transport. Each RAB protein targets multiple proteins that act in exocytic / endocytic pathways. This gene encodes a RAB family member that regulates vesicle traffic in the late endosomes and also from late endosomes to lysosomes. This encoded protein is also involved in the cellular vacuolation of the VacA cytotoxin of Helicobacter pylori. Mutations at highly conserved amino acid residues in this gene have caused some forms of Charcot-Marie-Tooth (CMT) type 2 neuropathies. [provided by RefSeq, Jul 2008]"""
RB1CC1	15574	Q8TDY2	ENSG00000023287	9821	CC1; ATG17; FIP200; PPP1R131	"""The protein encoded by this gene interacts with signaling pathways to coordinately regulate cell growth, cell proliferation, apoptosis, autophagy, and cell migration. This tumor suppressor also enhances retinoblastoma 1 gene expression in cancer cells. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Nov 2009]"""
RICTOR	28611	Q6R327	ENSG00000164327	253260	PIA; AVO3; hAVO3	"""RICTOR and MTOR (FRAP1; MIM 601231) are components of a protein complex that integrates nutrient- and growth factor-derived signals to regulate cell growth (Sarbassov et al., 2004 [PubMed 15268862]).[supplied by OMIM, Mar 2008]"""
RPTOR	30287	Q8N122	ENSG00000141564	57521	KOG1; Mip1	"""This gene encodes a component of a signaling pathway that regulates cell growth in response to nutrient and insulin levels. The encoded protein forms a stoichiometric complex with the mTOR kinase, and also associates with eukaryotic initiation factor 4E-binding protein-1 and ribosomal protein S6 kinase. The protein positively regulates the downstream effector ribosomal protein S6 kinase, and negatively regulates the mTOR kinase. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2009]"""
RUBCN	28991	Q92622	ENSG00000145016	9711	SCAR15; RUBICON; KIAA0226	"""The protein encoded by this gene is a negative regulator of autophagy and endocytic trafficking and controls endosome maturation. This protein contains two conserved domains, an N-terminal RUN domain and a C-terminal DUF4206 domain. The RUN domain is involved in Ras-like GTPase signaling, and the DUF4206 domain contains a diacylglycerol (DAG) binding-like motif. Mutation in this gene results in deletion of the DAG binding-like motif and causes a recessive ataxia. Alternatively spliced transcript variants encoding distinct isoforms have been found for this gene. [provided by RefSeq, Apr 2014]"""
SH3GLB1	10833	Q9Y371	ENSG00000097033	51100	Bif-1; CGI-61; PPP1R70; dJ612B15.2	"""This gene encodes a SRC homology 3 domain-containing protein. The encoded protein interacts with the proapoptotic member of the Bcl-2 family, Bcl-2-associated X protein (Bax) and may be involved in regulating apoptotic signaling pathways. This protein may also be involved in maintaining mitochondrial morphology. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Sep 2011]"""
SIRT1	14929	Q96EB6	ENSG00000096717	23411	SIR2; SIR2L1; SIR2alpha	"""This gene encodes a member of the sirtuin family of proteins, homologs to the yeast Sir2 protein. Members of the sirtuin family are characterized by a sirtuin core domain and grouped into four classes. The functions of human sirtuins have not yet been determined; however, yeast sirtuin proteins are known to regulate epigenetic gene silencing and suppress recombination of rDNA. Studies suggest that the human sirtuins may function as intracellular regulatory proteins with mono-ADP-ribosyltransferase activity. The protein encoded by this gene is included in class I of the sirtuin family. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2008]"""
